ccode1,ccode2,year,cap_1,cap_2,alliance,contig,dyaddur,polity21,polity22,demdA,demdB,allied,jointdem,anyweak,hegemon,terrmid,lncapratdir,NEGOC,terrcontig
365,290,1938,.164359,.019573,2,1,20,-9,-6,0,0,1,0,1,0,0,2.127902,0,0
365,290,1939,.138136,.018311,2,1,21,-9,0,0,0,1,0,1,0,1,2.020737,0,1
365,290,1956,.170245,.013928,1,1,11,-7,-7,0,0,1,0,1,0,0,2.503337,0,0
365,290,1993,.057014,.009243,4,1,48,4,8,0,1,0,0,1,0,0,1.81943,0,0
365,290,1997,.056771,.009183,4,1,52,4,9,0,1,0,0,1,0,0,1.821672,0,0
365,310,1956,.170245,.005026,1,1,38,-7,,0,0,1,0,1,0,0,3.522614,0,0
365,315,1968,.170108,.009725,1,1,23,-7,0,0,0,1,0,1,0,0,2.861734,0,0
365,325,1982,.170673,.019018,4,0,166,-7,10,0,1,0,0,1,0,0,2.194364,0,0
365,325,1999,.052523,.019634,4,0,183,4,10,0,1,0,0,0,0,0,.9839884,0,0
365,345,1949,.167918,.007159,4,0,5,-9,-7,0,0,0,0,1,0,0,3.155106,0,0
365,350,1886,.094627,.00266,4,0,58,-10,10,0,1,0,0,1,0,0,3.571617,0,0
365,350,1896,.108783,.002186,4,0,68,-10,10,0,1,0,0,1,0,0,3.907282,0,0
365,350,1897,.107471,.002106,4,0,69,-10,10,0,1,0,0,1,0,0,3.932431,0,0
365,355,1912,.124146,.003034,4,0,4,-6,-9,0,0,0,0,1,0,0,3.711576,0,0
365,355,1940,.137345,.002373,4,0,32,-9,-10,0,0,0,0,1,0,0,4.058341,0,0
365,355,1941,.124339,.001661,4,0,33,-9,-10,0,0,0,0,1,0,0,4.315592,0,0
365,355,1944,.097618,.003402,4,0,36,-9,-2,0,0,0,0,1,0,0,3.356698,0,0
365,359,1992,.06595,.000678,4,0,1,6,5,1,0,0,0,1,0,0,4.577505,1,0
365,359,1993,.057014,.000588,4,0,2,4,7,0,1,0,0,1,0,1,4.574325,0,0
365,360,1940,.137345,.011827,4,1,62,-9,-7,0,0,0,0,1,0,1,2.452111,0,1
365,360,1971,.171476,.008091,1,1,93,-7,-7,0,0,1,0,1,0,0,3.053691,0,0
365,366,1918,.037405,.000653,4,1,0,-1,,0,0,0,0,1,0,1,4.047983,0,1
365,366,1921,.148514,.000914,4,1,3,-1,10,0,1,0,0,1,0,0,5.090604,0,0
